date,state,cases,deaths
16-02-2020,Washington,1,0
16-02-2020,Wisconsin,1,0
17-02-2020,Arizona,1,0
17-02-2020,California,1,0
17-02-2020,California,1,0
17-02-2020,California,1,0
17-02-2020,California,2,0
17-02-2020,California,2,0
17-02-2020,Illinois,2,0
17-02-2020,Massachusetts,1,0
17-02-2020,Nebraska,10,0
17-02-2020,Texas,2,0
17-02-2020,Washington,1,0
17-02-2020,Wisconsin,1,0
18-02-2020,Arizona,1,0
18-02-2020,California,1,0
18-02-2020,California,1,0
18-02-2020,California,1,0
18-02-2020,California,2,0
18-02-2020,California,2,0
18-02-2020,Illinois,2,0
18-02-2020,Massachusetts,1,0
18-02-2020,Nebraska,10,0
18-02-2020,Texas,2,0
18-02-2020,Washington,1,0
18-02-2020,Wisconsin,1,0
19-02-2020,Arizona,1,0
19-02-2020,California,1,0
19-02-2020,California,1,0
19-02-2020,California,1,0
19-02-2020,California,2,0
19-02-2020,California,2,0
19-02-2020,Illinois,2,0
19-02-2020,Massachusetts,1,0
19-02-2020,Nebraska,10,0
19-02-2020,Texas,2,0
19-02-2020,Washington,1,0
19-02-2020,Wisconsin,1,0
20-02-2020,Arizona,1,0
20-02-2020,California,1,0
20-02-2020,California,1,0
20-02-2020,California,1,0
20-02-2020,California,1,0
20-02-2020,California,2,0
20-02-2020,California,2,0
20-02-2020,Illinois,2,0
20-02-2020,Massachusetts,1,0
20-02-2020,Nebraska,11,0
20-02-2020,Texas,2,0
20-02-2020,Washington,1,0
20-02-2020,Wisconsin,1,0
21-02-2020,Arizona,1,0
21-02-2020,California,1,0
21-02-2020,California,1,0
21-02-2020,California,1,0
21-02-2020,California,1,0
21-02-2020,California,1,0
21-02-2020,California,2,0
21-02-2020,California,2,0
21-02-2020,Illinois,2,0
21-02-2020,Massachusetts,1,0
21-02-2020,Nebraska,11,0
21-02-2020,Texas,4,0
21-02-2020,Washington,1,0
21-02-2020,Wisconsin,1,0
22-02-2020,Arizona,1,0
22-02-2020,California,1,0
22-02-2020,California,1,0
22-02-2020,California,1,0
22-02-2020,California,1,0
22-02-2020,California,1,0
22-02-2020,California,2,0
22-02-2020,California,2,0
22-02-2020,Illinois,2,0
22-02-2020,Massachusetts,1,0
22-02-2020,Nebraska,11,0
22-02-2020,Texas,4,0
22-02-2020,Washington,1,0
22-02-2020,Wisconsin,1,0
23-02-2020,Arizona,1,0
23-02-2020,California,1,0
23-02-2020,California,1,0
23-02-2020,California,1,0
